"","L","R"
"3451","cxcl12a","itgb1b"
"3452","cxcl12a","itgb1b.1"
"3453","cxcl12b","itgb3b"
"3454","cxcl12b","itgb3a"
"3455","cxcl12a","itgb3b"
"3456","cxcl12a","itgb3a"
"3457","cxcl14","cxcr4b"
"3458","cxcl14","cxcr4a"
"3459","CYTL1","ccr2"
"3460","CYTL1","ccr11.1"
"3462","dcn","egfra"
"3463","dcn","LO018309.1"
"3464","dcn","erbb4a"
"3465","dcn","ERBB4"
"3466","dcn","met"
"3467","dcn","CABZ01071972.1"
"3468","dcn","tlr2"
"3469","ihha","boc"
"3470","ihhb","boc"
"3471","ihha","cdon"
"3472","ihhb","cdon"
"3473","ihha","ptch1"
"3475","ihhb","ptch1"
"3477","dlk2","notch1b"
"3478","dlk2","notch1a"
"3479","dnajb11","prtga"
"3480","dnajb11","prtgb"
"3481","ebi3","lifrb"
"3482","ebi3","lifra"
"3483","ebi3","il11ra"
"3484","ebi3","il6r"
"3485","ebi3","il2rgb"
"3486","ebi3","il2rga"
"3487","ebi3","BX601644.2"
"3488","ebi3","ghrb"
"3489","ebi3","ghra"
"3490","ecm1b","itgbl1"
"3491","ecm1b","itgb4"
"3492","ecm1a","itgbl1"
"3493","ecm1a","itgb4"
"3494","edil3a","itgb3b"
"3495","edil3a","itgb3a"
"3496","edn2","ednrbb"
"3497","edn2","ednrba"
"3498","edn3b","ednraa"
"3499","edn3b","ednrab"
"3500","si:ch73-173h19.3","egfra"
"3501","si:ch73-173h19.3","LO018309.1"
"3502","EFEMP1","egfra"
"3503","EFEMP1","LO018309.1"
"3504","efna5a","ephb1"
"3505","efna5a","FQ377603.1"
"3506","efna5b","ephb1"
"3507","efna5b","FQ377603.1"
"3508","efnb1","erbb2"
"3509","efnb2a","epha3"
"3510","efnb2b","epha3"
"3511","efnb2a","epha6"
"3512","efnb2b","epha6"
"3513","efnb2a","grm1b"
"3514","efnb2a","grm1a"
"3515","efnb2b","grm1b"
"3516","efnb2b","grm1a"
"3517","efnb2a","grm5b"
"3518","efnb2a","grm5a"
"3519","efnb2b","grm5b"
"3520","efnb2b","grm5a"
"3521","efnb2a","si:dkey-237i9.8"
"3522","efnb2a","pecam1"
"3523","efnb2b","si:dkey-237i9.8"
"3524","efnb2b","pecam1"
"3525","efnb2a","rhbdl2"
"3526","efnb2b","rhbdl2"
"3527","efnb3b","rhbdl2"
"3528","efnb3a","rhbdl2"
"3529","egf","erbb2"
"3530","egf","erbb3b"
"3531","egf","erbb3a"
"3532","egf","erbb4a"
"3533","egf","ERBB4"
"3534","epcam","epcam"
"3535","epha4l","efnb1"
"3536","epha4a","efnb1"
"3537","epob","crlf3"
"3538","epoa","crlf3"
"3539","epob","ephb4b"
"3540","epoa","ephb4b"
"3541","f10","f3a"
"3542","f13a1b","itga4"
"3543","f13a1b","itga9"
"3544","f13a1b","itgb1a"
"3545","f13a1b","itgb1b.2"
"3546","f13a1b","itgb1b"
"3547","f13a1b","itgb1b.1"
"3548","fam3c","osmr"
"3549","fbln1","itgb1a"
"3550","fbln1","itgb1b.2"
"3551","fbln1","itgb1b"
"3552","fbln1","itgb1b.1"
"3553","si:dkey-30j22.1","itga5"
"3554","si:dkey-30j22.1","itgav"
"3555","si:dkey-30j22.1","itgb1a"
"3556","si:dkey-30j22.1","itgb1b.2"
"3557","si:dkey-30j22.1","itgb1b"
"3558","si:dkey-30j22.1","itgb1b.1"
"3559","si:dkey-30j22.1","itgb3b"
"3560","si:dkey-30j22.1","itgb3a"
"3561","si:dkey-61f9.1","csmd2"
"3563","si:cabz01007816.2","csmd2"
"3564","CT030017.2","csmd2"
"3565","si:ch211-283g2.2","csmd2"
"3566","asgrl2","csmd2"
"3567","si:ch211-283g2.3","csmd2"
"3568","BX640512.3","csmd2"
"3569","asgrl1","csmd2"
"3570","fgb","itga2b"
"3571","fgb","itga5"
"3572","fgb","itgav"
"3573","fgb","itgb1a"
"3574","fgb","itgb1b.2"
"3575","fgb","itgb1b"
"3576","fgb","itgb1b.1"
"3577","fgb","itgb2"
"3578","fgf10b","fgfrl1a"
"3579","fgf10a","fgfrl1a"
"3580","fgf13a","scn8ab"
"3581","fgf13a","scn8aa"
"3582","fgf19","klb"
"3583","fgf20b","fgfr1a"
"3584","fgf20b","fgfr1b"
