"","L","R"
"576","App","Fpr-rs7"
"577","App","Fpr-rs6"
"578","App","Fpr-rs3"
"579","App","Fpr3"
"580","App","Fpr2"
"581","App","Fpr-rs4"
"582","Cxcl3","Cxcr1"
"583","Cxcl2","Cxcr1"
"584","Cxcl1","Cxcr1"
"585","Rps19","C5ar1"
"586","Hc","C5ar1"
"587","Hc","C5ar2"
"588","Ccl19","Cxcr3"
"589","Ccl19-ps3","Cxcr3"
"590","Ccl19-ps6","Cxcr3"
"591","Ccl19-ps5","Cxcr3"
"592","Ccl19-ps1","Cxcr3"
"593","Ccl19-ps4","Cxcr3"
"594","Ccl19","Ccrl2"
"595","Ccl19-ps3","Ccrl2"
"596","Ccl19-ps6","Ccrl2"
"597","Ccl19-ps5","Ccrl2"
"598","Ccl19-ps1","Ccrl2"
"599","Ccl19-ps4","Ccrl2"
"600","Ccl19","Ackr4"
"601","Ccl19-ps3","Ackr4"
"602","Ccl19-ps6","Ackr4"
"603","Ccl19-ps5","Ackr4"
"604","Ccl19-ps1","Ackr4"
"605","Ccl19-ps4","Ackr4"
"606","Ccl21b","Ackr4"
"607","Ccl21f","Ackr4"
"608","Ccl21e","Ackr4"
"609","Ccl21d","Ackr4"
"610","Ccl21a","Ackr4"
"611","Ccl25","Ackr4"
"612","Defb4","Ccr6"
"613","Defb6","Ccr6"
"614","Defb5","Ccr6"
"615","Defb3","Ccr6"
"616","Defb8","Ccr6"
"617","Defb7","Ccr6"
"624","Ccl20","Cxcr3"
"625","Cxcl12","Cxcr3"
"626","Cxcl11","Ccr3"
"627","Cxcl9","Ccr3"
"628","Cxcl10","Ccr3"
"629","Ccl5","Gpr75"
"630","Ccl5","Cxcr3"
"631","Ccl8","Ccr8"
"632","Ccl8","Ccr1"
"633","Ccl8","Ccr1l1"
"634","Ccl8","Ccr5"
"635","Ccl8","Ccr2"
"636","Ccl2","Ccr1"
"637","Ccl2","Ccr1l1"
"638","Ccl2","Ccr5"
"639","Ccl2","Cxcr3"
"640","Ccl7","Ccr5"
"641","Ccl7","Ccr3"
"642","Ccl7","Cxcr3"
"643","Ccl11","Ccr5"
"644","Ccl11","Ccr2"
"645","Ccl11","Cxcr3"
"646","Ccl24","Ccr2"
"647","Ccl26","Ccr2"
"648","Ccl12","Ccr5"
"650","Ccl12","Ccr3"
"652","Ccl4","Ccr1"
"653","Ccl4","Ccr1l1"
"655","Ccl3","Ccr1"
"656","Ccl3","Ccr1l1"
"658","Csf3","Csf1r"
"659","Csf2","Csf1r"
"660","Angpt4","Tek"
"661","Angpt1","Tek"
"662","Edn2","Ednra"
"663","Edn1","Ednra"
"664","Edn3","Ednrb"
"665","Galp","Galr1"
"666","Galp","Galr3"
"667","Galp","Galr2"
"668","Gal","Galr1"
"669","Gal","Galr3"
"670","Gal","Galr2"
"671","Gast","Cckar"
"672","Gast","Cckbr"
"673","Cck","Cckar"
"674","Cck","Cckbr"
"675","Gcg","Gcgr"
"676","Gcg","Glp2r"
"677","Gcg","Glp1r"
"678","Ghrl","Ghsr"
"679","Gip","Gipr"
"680","Gnrh1","Gnrhr"
"681","Hcrt","Hcrtr1"
"682","Hcrt","Hcrtr2"
"683","Igf2","Igf1r"
"684","Igf1","Igf1r"
"685","Ins2","Insr"
"686","Ins1","Insr"
"687","Kiss1","Kiss1r"
"688","Kng2","Bdkrb1"
"689","Kng1","Bdkrb1"
"690","Kng2","Bdkrb2"
"691","Kng1","Bdkrb2"
"692","Mst1","Mst1r"
"693","Ndp","Fzd4"
"694","Nmb","Grpr"
"695","Nmb","Nmbr"
"696","Grp","Grpr"
"697","Grp","Nmbr"
"698","Nmu","Nmur1"
"699","Nmu","Nmur2"
"700","Nms","Nmur1"
"701","Nms","Nmur2"
"702","Nppc","Npr2"
"703","Nps","Npsr1"
"704","Npw","Npbwr1"
"705","Npb","Npbwr1"
"706","Ntf3","Ngfr"
"707","Ntf3","Ntrk3"
"708","Ngf","Ngfr"
"709","Ntf5","Ngfr"
"710","Bdnf","Ngfr"
"711","Nts","Ntsr1"
"712","Nts","Ntsr2"
"713","Ostn","Npr3"
"714","Oxt","Avpr2"
"715","Oxt","Avpr1b"
"716","Oxt","Oxtr"
"717","Oxt","Avpr1a"
"718","Avp","Avpr2"
"719","Avp","Avpr1b"
"720","Avp","Oxtr"
"721","Avp","Avpr1a"
"722","Pmch","Mchr1"
"723","Pnoc","Oprl1"
"724","Arf1","Pld2"
"725","Nppb","Npr1"
"726","Nppa","Npr1"
"727","Gh","Prlr"
"730","Prok2","Prokr1"
"731","Prok2","Prokr2"
"732","Prok1","Prokr1"
"733","Prok1","Prokr2"
"734","Pros1","Tyro3"
"735","Pros1","Axl"
"736","Gas6","Mertk"
"737","Gas6","Tyro3"
"738","Gas6","Axl"
"739","Psap","Gpr37"
"740","Psap","Gpr37l1"
"741","Pth2","Pth2r"
"742","Pth2","Pth1r"
"743","Pthlh","Prlhr"
"744","Pthlh","Pth2r"
"745","Pthlh","Pth1r"
"746","Prlh","Prlhr"
"747","Npy","Npy1r"
"748","Npy","Npy5r"
"749","Npy","Npy4r"
"750","Npy","Npy2r"
"751","Npy","Prlhr"
"752","Pyy","Npy1r"
"753","Pyy","Npy5r"
"754","Pyy","Npy4r"
"755","Pyy","Npy2r"
"756","Ppy","Npffr1"
"757","Ppy","Npffr2"
"758","Ppy","Npy1r"
"759","Ppy","Npy5r"
"760","Ppy","Npy4r"
"761","Npvf","Npffr1"
"762","Npvf","Npffr2"
"763","Npff","Mas1"
"764","Npff","Npffr1"
"765","Npff","Npffr2"
"766","Agt","Agtr1a"
"767","Agt","Agtr1b"
"768","Agt","Agtr2"
"769","Agt","Mas1"
"770","Tac2","Tacr2"
"771","Tac2","Tacr3"
