"","L","R"
"907","BMP7","BMPR1A"
"909","BMP7","BMPR2"
"910","BMP8B","ACVR1"
"911","BMP8B","ACVR2A"
"912","BMP8B","ACVR2B"
"913","BMP8B","BMPR1A"
"914","BMP8B","BMPR1B"
"915","BMP8B","BMPR2"
"917","BTC","ERBB3"
"921","C3","ITGAX"
"922","C3","ITGB2"
"923","C3","LRP1"
"927","CALCA","CALCRL"
"928","CALCA","RAMP1"
"930","CALCB","CALCRL"
"931","CALCB","RAMP1"
"947","CALR","SCARF1"
"951","CCL11","ACKR2"
"956","CCL13","ACKR2"
"962","CCL14","ACKR2"
"972","CCL17","CCR8"
"982","CCL21","CXCR3"
"994","CCL2","ACKR2"
"995","CCL2","CCR1"
"998","CCL2","CCR4"
"1002","CCL4","ACKR2"
"1005","CCL4","CCR8"
"1006","CCL5","ACKR2"
"1009","CCL5","CCR4"
"1013","CCL7","ACKR2"
"1019","CCL8","ACKR2"
"1024","CD24","SELP"
"1028","CDH1","ITGAE"
"1029","CDH1","ITGB7"
"1030","CFH","SELL"
"1037","CLCF1","CRLF1"
"1040","CLEC11A","KIT"
"1044","COL18A1","GPC1"
"1045","COL18A1","ITGA5"
"1046","COL18A1","ITGB1"
"1047","COL1A1","DDR1"
"1048","COL1A1","DDR2"
"1052","COL2A1","ITGA10"
"1053","COL2A1","ITGA2"
"1054","COL2A1","ITGB1"
"1055","COL4A1","ITGA1"
"1056","COL4A1","ITGB1"
"1057","COL4A1","ITGB8"
"1058","COL5A3","SDC3"
"1059","CORT","GHSR"
"1073","CSF2","CSF3R"
"1094","CXCL2","CXCR1"
"1096","CXCL2","XCR1"
"1097","CXCL3","CXCR1"
"1099","CXCL5","CXCR1"
"1107","DHH","HHIP"
"1108","DHH","PTCH2"
"1109","DKK1","KREMEN1"
"1110","DKK1","KREMEN2"
"1111","DKK1","LRP6"
"1112","DKK2","LRP6"
"1113","DLK1","NOTCH1"
"1114","DLK1","NOTCH2"
"1115","DLK1","NOTCH3"
"1116","DLK1","NOTCH4"
"1117","DLL1","NOTCH1"
"1118","DLL1","NOTCH2"
"1119","DLL1","NOTCH3"
"1120","DLL1","NOTCH4"
"1121","DLL3","NOTCH1"
"1122","DLL3","NOTCH2"
"1123","DLL3","NOTCH3"
"1124","DLL3","NOTCH4"
"1125","DLL4","NOTCH1"
"1126","DLL4","NOTCH2"
"1127","DLL4","NOTCH3"
"1128","DLL4","NOTCH4"
"1134","EFNA1","EPHA1"
"1135","EFNA1","EPHA2"
"1136","EFNA1","EPHA3"
"1137","EFNA1","EPHA4"
"1138","EFNA1","EPHA5"
"1139","EFNA1","EPHA6"
"1140","EFNA1","EPHA7"
"1141","EFNA1","EPHA8"
"1142","EFNA2","EPHA1"
